Date;Hive;Location;Aluminium mg/kg;Arsenic mg/kg;Cadmium mg/kg;Calcium g/kg;Chromium mg/kg;Cobalt mg/kg;Copper mg/kg;Iron mg/kg;Magnesium g/kg;Manganese mg/kg;Molybdenum mg/kg;Phosphorous g/kg;Lead mg/kg;Potassium g/kg;Sodium g/kg;Sulfur g/kg;Zinc mg/kg
03/05/2021;C2;Urban;33,7;0,0942;0,665;0,907;< 0,08;0,49;40;188;1,04;101;0,592;8,74;0,409;9,95;0,536;5;142
03/05/2021;C21;Urban;24,5;0,225;2,2;0,643;< 0,05;0,3;20,6;168;0,822;104;0,312;6,15;0,411;9,59;0,437;3,27;97,1
03/05/2021;N10;Vineyard;89,2;0,141;1,12;2,07;< 0,09;0,192;27,1;355;1,3;233;0,503;10,1;0,634;12,1;0,862;5,6;159
03/05/2021;B3;Vineyard;48,3;0,18;1,61;1,17;< 0,08;0,484;44,9;297;1,24;178;0,704;10;0,609;11,1;0,73;5,06;198
03/05/2021;C17;Suburban;40,9;0,139;1,17;1,11;< 0,08;0,312;31,2;285;1,23;133;0,641;9,95;0,458;11,1;0,669;5,09;128
03/05/2021;B20;Suburban;31,7;0,134;1,3;1,34;< 0,08;0,421;39,5;355;1,36;207;0,801;11,1;0,587;13,1;0,793;5,95;236
03/05/2021;N1;Forest;51,2;0,142;1,48;1,19;< 0,08;0,409;32;300;1,3;189;0,831;10,4;0,562;12,2;0,794;5,54;155
03/05/2021;B1;Forest;30,8;0,172;1,25;0,872;< 0,07;0,312;33,8;262;1,03;144;0,441;8,7;0,452;10;0,635;5,1;149
28/05/2021;C2;Urban;28,7;< 0,08;0,605;1,23;< 0,08;0,262;35,9;200;1,27;180;0,58;9,85;0,2;11,4;0,788;5,76;212
28/05/2021;C21;Urban;124;0,0948;0,824;1,03;< 0,07;0,268;27,6;289;1,17;214;0,452;8,8;0,498;10,8;0,815;4,32;174
28/05/2021;N10;Vineyard;< 20;< 0,09;0,295;0,799;< 0,09;0,423;37,6;177;1,07;149;0,558;8,22;< 0,2;9,63;0,649;4,75;181
28/05/2021;B3;Vineyard;34,9;0,0887;0,754;1,12;< 0,07;0,457;37,4;238;1,22;175;0,545;9,05;< 0,1;10,5;0,692;5,01;189
28/05/2021;C17;Suburban;17,7;0,0785;0,365;1,52;< 0,07;0,0685;21,2;234;1,13;159;0,395;8,18;0,146;9,29;0,786;4,33;118
28/05/2021;B20;Suburban;21;< 0,07;0,265;1,17;< 0,07;0,128;27,1;209;1,23;152;0,525;9,52;< 0,1;12,4;0,979;4,95;167
28/05/2021;N1;Forest;< 20;0,0995;0,941;1,43;< 0,06;0,0777;25,6;222;0,949;668;0,378;7,17;0,162;10;0,463;4,24;132
28/05/2021;B1;Forest;< 20;0,0707;0,427;1,75;< 0,06;0,0498;22,8;233;1,03;512;0,342;7,78;< 0,1;11,2;0,521;4,74;120
17/06/2021;C2;Urban;26,4;< 0,06;0,148;1,54;< 0,06;0,125;20,3;170;0,993;129;0,371;7,25;0,192;8,51;0,631;3,8;122
17/06/2021;C21;Urban;53,7;0,12;0,155;2,01;< 0,05;0,14;15,3;170;0,869;94,5;0,317;6,33;0,359;8,64;0,643;3,68;82
17/06/2021;N10;Vineyard;399;0,268;0,144;1,43;1,64;0,417;54,9;425;1,06;247;0,598;7,75;0,866;9,88;0,663;4,19;110
17/06/2021;B3;Vineyard;167;0,151;0,112;1,5;< 0,07;0,0996;37,7;262;1,03;122;0,394;7,65;0,333;9,38;0,638;4,01;101
17/06/2021;C17;Suburban;< 20;0,107;0,233;1,18;< 0,07;0,102;17,9;249;1,07;222;0,479;8,83;0,591;8,82;0,808;4,37;147
17/06/2021;B20;Suburban;< 20;0,148;0,187;1,09;< 0,08;0,272;32,2;312;1,19;313;0,544;9,57;0,745;10,1;0,68;5,41;148
17/06/2021;N1;Forest;< 20;< 0,08;0,484;1,39;< 0,08;0,111;27,1;209;1,27;1130;0,35;9,97;0,176;10,1;0,678;4,72;168
17/06/2021;B1;Forest;< 20;< 0,09;0,561;1,53;< 0,09;0,0509;27,7;231;1,26;1200;0,291;10;0,183;10,3;0,718;5,83;154
08/07/2021;C2;Urban;< 20;< 0,09;0,276;1,34;< 0,09;0,115;25,9;314;1,3;387;0,511;10;0,193;10,7;0,709;5,08;179
08/07/2021;C21;Urban;< 20;0,117;0,277;1,53;< 0,08;0,116;25,5;360;1,23;228;0,426;9,58;0,412;10,4;0,692;5,22;173
08/07/2021;N10;Vineyard;< 20;0,0939;0,0691;1,11;< 0,09;0,215;46,9;280;1,22;294;0,549;9,94;< 0,2;10,5;0,744;5,16;137
08/07/2021;B3;Vineyard;52;0,132;0,0723;1,42;< 0,08;0,188;42,8;293;1,18;196;0,579;9,82;< 0,2;10,1;0,805;5,14;152
08/07/2021;C17;Suburban;< 20;0,0786;0,175;0,972;< 0,07;0,0899;23,3;265;0,969;308;0,576;8,13;0,393;8,19;0,762;4,23;151
08/07/2021;B20;Suburban;< 20;< 0,08;0,0708;0,883;< 0,08;0,0943;31,8;233;1,23;405;0,537;9,91;< 0,2;10,9;0,792;5,13;131
08/07/2021;N1;Forest;< 10;< 0,05;0,279;1,05;< 0,05;0,17;31,9;232;0,995;946;0,339;7,72;< 0,1;8,62;0,594;3,42;127
08/07/2021;B1;Forest;< 20;< 0,07;0,136;1,13;< 0,07;0,414;33,9;235;0,92;515;0,216;7,54;< 0,1;9,16;0,795;3,69;98,1
28/07/2021;C2;Urban;< 20;< 0,08;0,355;1,26;< 0,08;< 0,04;24,3;237;1,24;308;0,481;10,1;< 0,2;12;0,868;4,95;153
28/07/2021;C21;Urban;< 20;< 0,08;1,74;0,955;< 0,08;0,203;30,1;260;1,09;157;0,635;8,79;0,238;10,8;0,984;5,25;150
28/07/2021;N10;Vineyard;37,3;< 0,08;0,0717;1,14;< 0,08;0,33;56,3;259;1,38;188;0,615;9,1;0,217;12,6;0,582;4,69;134
28/07/2021;B3;Vineyard;25,1;0,0886;0,0461;1,07;< 0,09;0,219;54,9;288;1,23;148;0,57;9,63;< 0,2;11;0,627;5,45;171
28/07/2021;C17;Suburban;< 20;0,105;0,211;1,57;0,221;0,331;31,9;408;1,37;751;1,18;10,2;0,453;10,6;0,842;5,54;161
28/07/2021;B20;Suburban;< 20;< 0,07;0,0375;0,74;< 0,07;0,061;30,3;181;0,93;143;0,402;7,72;< 0,1;8,98;0,859;4,25;101
28/07/2021;N1;Forest;18;< 0,07;0,165;1,06;0,334;0,256;45,1;283;0,953;857;0,274;8,3;< 0,1;8,98;0,833;4,01;116
28/07/2021;B1;Forest;< 20;< 0,09;0,0529;1,3;0,36;0,069;36,3;189;0,987;436;0,274;8,16;< 0,2;10,3;0,695;3,71;94,5
19/08/2021;C2;Urban;< 20;< 0,09;0,482;1,43;< 0,09;0,205;31,2;306;1,46;413;0,536;10,5;0,206;14;1,04;5,42;171
19/08/2021;C21;Urban;33;< 0,07;0,241;0,895;< 0,07;0,11;24,5;129;1,14;58;0,479;7,52;0,225;9,98;0,7;4,59;100
19/08/2021;N10;Vineyard;129;0,0971;0,0615;1,4;0,567;0,294;46,8;307;1,64;127;0,485;7,82;0,354;12,7;0,435;4,01;115
19/08/2021;B3;Vineyard;262;0,178;0,0383;1,14;0,157;0,22;52;313;1,35;88,2;0,529;7,92;0,309;12,8;0,589;4,23;101
19/08/2021;C17;Suburban;15,6;0,0628;0,0636;1,06;< 0,06;0,0802;24,9;181;1,14;166;0,671;8,33;0,293;10,7;0,955;4,2;118
19/08/2021;B20;Suburban;47,9;0,0914;0,051;0,982;0,0846;0,0585;27,6;154;0,943;42,9;0,439;7,15;0,269;9,58;1,08;4,24;85,7
19/08/2021;N1;Forest;< 20;< 0,09;0,0585;1,05;< 0,09;0,0942;49,8;214;1,11;433;0,338;9,48;< 0,2;10,9;0,974;4,65;133
19/08/2021;B1;Forest;< 20;< 0,08;0,113;1,16;0,126;0,112;59,3;255;1,29;409;0,522;10,9;< 0,2;12,7;0,917;5,24;171
09/09/2021;C21;Urban;31,3;0,161;0,441;1,02;< 0,08;0,15;26,5;212;1,2;89,1;0,496;9,12;0,511;10,6;0,816;6,09;128
09/09/2021;N10;Vineyard;85,3;0,244;0,0684;2,19;< 0,08;0,338;97,4;309;1,47;150;0,424;9,69;0,274;11,9;0,669;4,96;166
09/09/2021;B3;Vineyard;61,1;0,22;0,131;1,72;< 0,1;0,329;56,3;336;1,51;158;0,55;10;0,218;12,9;0,738;5,03;171
09/09/2021;C17;Suburban;69,9;0,0631;0,0819;1,19;1,77;0,127;20,2;204;1,05;139;0,686;6,69;0,49;8,96;0,829;3,72;103
09/09/2021;B20;Suburban;< 20;0,186;0,0839;1,18;< 0,09;0,26;34,5;218;1,38;67,9;0,667;9,98;0,208;14,5;1,13;6,45;134
09/09/2021;N1;Forest;< 20;< 0,06;< 0,03;1,12;< 0,06;0,0581;25,3;179;0,858;334;0,31;7,32;< 0,1;9,44;0,61;4,38;76
09/09/2021;B1;Forest;44;< 0,08;0,0472;1,27;0,193;0,0769;33,1;237;1,07;353;0,335;8,96;0,214;10,3;0,761;4,5;111
30/09/2021;C21;Urban;< 20;0,124;0,782;0,663;0,416;0,115;22,4;147;0,916;63,3;0,407;7,56;0,168;8,6;0,646;4,24;122
30/09/2021;N10;Vineyard;57,7;0,265;0,19;1,6;< 0,08;0,364;81;307;1,47;132;0,573;10,1;0,164;13,9;0,57;5,11;174
